task_id	mode	reason
T-257-add-the-temporary-source-checkout-autonomous-loop	run	-
T-265-accept-rendered-empty-current-task-in-loop	run	-
T-266-select-temporary-loop-backend-per-invocation	hold-operator	Operator-owned temporary-loop maintenance
T-267-require-specialized-fresh-review-subagents-in-the	hold-operator	Operator-owned temporary-loop maintenance
T-155-add-the-repository-mutation-lock-protocol	run	-
T-201-make-packaged-skills-agent-skills-compliant	run	-
T-229-canonicalize-v0-5-lifecycle-and-task-identities	run	-
T-230-enforce-the-normative-v0-5-machine-schema	run	-
T-268-decode-the-strict-common-machine-envelope	run	-
T-269-enforce-machine-result-schema-drift-checks	run	-
T-213-define-the-uniform-agent-machine-api	run	-
T-270-migrate-inherited-read-only-machine-results	run	-
T-271-migrate-inherited-semantic-writer-machine-results	run	-
T-156-protect-existing-semantic-writers-with-snapshot	run	-
T-214-bootstrap-and-migrate-human-owned-repository-notes	run	-
T-272-implement-init-status-and-warning-machine	run	-
T-273-complete-machine-api-consumer-compatibility	run	-
T-240-implement-the-normative-review-schema-decoders	run	-
T-274-decode-reviewed-decomposition-bundles-strictly	run	-
T-275-decode-workflow-adversarial-review-memory-strictly	run	-
T-276-integrate-contextual-review-schema-validation	run	-
T-277-add-durable-transaction-journals-and-recovery	run	-
T-278-publish-typed-directories-without-clobbering	run	-
T-168-parse-and-validate-an-optional-autonomous-run	run	-
T-231-inspect-and-clear-stale-repository-locks-safely	run	-
T-232-recover-v0-5-transactions-through-one-command	run	-
T-157-upgrade-repositories-transactionally-to-layout-2	run	-
T-279-preview-complete-layout-2-migration-decisions	run	-
T-280-publish-layout-2-through-the-durable-migration	run	-
T-233-protect-lifecycle-and-task-writers-transactionally	run	-
T-281-protect-verification-and-follow-up-writers	run	-
T-282-protect-inherited-task-mutation-writers	run	-
T-234-protect-repository-and-planning-writers	run	-
T-283-protect-repair-and-spec-writers-transactionally	run	-
T-284-protect-importdraft-v1-publication-transactionally	run	-
T-158-bind-completion-and-verification-with-stable	run	-
T-285-add-stable-verification-identities-and-predecessor	run	-
T-286-bind-verification-to-completion-and-adopt-legacy	run	-
T-222-initialize-and-discover-ignored-local-taskrail	run	-
T-287-initialize-ignored-local-planning-storage-durably	run	-
T-288-inspect-local-planning-storage-read-only	run	-
T-223-run-every-v0-5-command-against-local-storage	run	-
T-289-route-lifecycle-and-task-writers-through-local	run	-
T-290-route-structural-planning-writers-through-local	run	-
T-159-add-a-versioned-workflow-prompt-catalog	run	-
T-236-resolve-local-prompt-replacements-through-the	run	-
T-235-show-a-task-by-exact-id-through-active-storage	run	-
T-215-add-the-generic-review-artifact-publisher	run	-
T-292-publish-spec-review-bundles-safely	run	-
T-293-publish-decomposition-review-bundles-safely	run	-
T-294-show-durable-review-artifacts-through-active	run	-
T-250-render-prompts-from-storage-neutral-context	run	-
T-295-resolve-managed-prompt-subjects-through-active	run	-
T-296-authorize-transient-prompt-context-paths-safely	run	-
T-297-ship-complete-storage-neutral-prompt-rendering	run	-
T-255-bind-review-artifacts-to-resolved-prompt-templates	run	-
T-298-bind-task-review-publication-to-resolved-prompts	run	-
T-299-bind-spec-review-publication-to-resolved-prompts	run	-
T-300-bind-decomposition-publication-to-resolved-prompts	run	-
T-241-warn-on-passing-verification-before-completion	run	-
T-217-release-interrupted-active-work-safely	run	-
T-237-report-task-local-loop-policy-deterministically	run	-
T-169-select-autonomous-work-through-policy-barriers	run	-
T-238-mutate-task-local-loop-policy-safely	run	-
T-239-edit-exact-id-dependencies-safely	run	-
T-247-install-packaged-skills-safely-in-local-mode	run	-
T-301-install-fresh-local-packaged-skills	run	-
T-302-refresh-local-packaged-skills-safely	run	-
T-251-ship-the-outcome-focused-task-authoring-prompt	run	-
T-161-apply-reviewed-task-bodies-with-compare-and-swap	run	-
T-303-align-native-task-producers-with-the-body-contract	run	-
T-160-ship-the-lifecycle-complete-task-implementation	run	-
T-242-align-full-task-skills-with-the-canonical	run	-
T-165-maintain-bounded-workflow-adversarial-review	run	-
T-166-publish-workflow-review-index-and-reports-with-cas	run	-
T-305-publish-workflow-review-reports-and-memory	run	-
T-306-ship-the-sandboxed-workflow-adversarial-review	run	-
T-162-productize-digest-bound-post-spec-review-lenses	run	-
T-252-validate-reviewed-decomposition-bundles	run	-
T-304-align-imported-and-decomposed-task-bodies	run	-
T-163-validate-and-apply-importdraft-v2-transactionally	run	-
T-164-orchestrate-adversarial-spec-to-task-decomposition	run	-
